created_at,voterID,message,selection1,selection2,selection3,selection4,selection5,selection6,voting_power
2024-06-14 06:58:04.245,9yz0h4j6zy6lwy47g8fj8ryqmyg8xvgyzwzr8r4gh,"{""params"":[""cardanoConfederationOfEmergingEconomies"",""easternCardanoCouncil"",""cardanoJapan"",""joshuaStone"",""mauroAgustnAndreoli"",""cardanoAtlanticCouncil""],""timestamp"":1718348267014}",cardanoConfederationOfEmergingEconomies,easternCardanoCouncil,cardanoJapan,joshuaStone,mauroAgustnAndreoli,cardanoAtlanticCouncil,2249141881016
2024-06-14 06:58:12.385,xhq54nz5l0yjwj6lhnxj3gh6vlfmqx387gvmf,"{""params"":[""cardanoConfederationOfEmergingEconomies"",""joshuaStone"",""mauroAgustnAndreoli"",""easternCardanoCouncil"",""cardanoAtlanticCouncil""],""timestamp"":1718348270262}",cardanoConfederationOfEmergingEconomies,joshuaStone,mauroAgustnAndreoli,easternCardanoCouncil,cardanoAtlanticCouncil,,65466550823
2024-06-14 06:58:43.667,y0f73xywqx0g2fy4h73yfq63g3njjvl528yjz3vqvyyn,"{""params"":[""joshuaStone"",""lloydDuhon"",""mauroAgustnAndreoli""],""timestamp"":1718348299774}",joshuaStone,lloydDuhon,mauroAgustnAndreoli,,,,90203763449
2024-06-14 06:59:26.847,y20ry0vry9h4y3v7fy25yrfw8yyyyhymyln4fyn7fn66,"{""params"":[""cardanoAtlanticCouncil"",""easternCardanoCouncil"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718348323883}",cardanoAtlanticCouncil,easternCardanoCouncil,cardanoConfederationOfEmergingEconomies,,,,15660739286
2024-06-14 07:06:04.004,yym9hjf3n9y92mx78y30yl4jmwvxrhg5yx7xq788yy3mxrx,"{""params"":[""cardanoAtlanticCouncil"",""lloydDuhon""],""timestamp"":1718348755967}",cardanoAtlanticCouncil,lloydDuhon,,,,,43355157119
2024-06-14 07:07:11.369,xj52qf2qlg0z3gflg4jfy2lfm0jl3075wymqzrvwwy97y30w,"{""params"":[""easternCardanoCouncil"",""mauroAgustnAndreoli"",""cardanoJapan""],""timestamp"":1718348798720}",easternCardanoCouncil,mauroAgustnAndreoli,cardanoJapan,,,,225071893203
2024-06-14 07:07:26.624,9zn552y3vg9xqnfznyf9g2yvl8qjfvy5wjy3yyyjwqry,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""easternCardanoCouncil"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718348843672}",cardanoAtlanticCouncil,joshuaStone,easternCardanoCouncil,cardanoConfederationOfEmergingEconomies,,,15329611816
2024-06-14 07:08:05.511,y6gvwq0r5yl03fz59gzy4r95qy4y0zgqy5ygg0nqhf,"{""params"":[""easternCardanoCouncil"",""lloydDuhon"",""cardanoAtlanticCouncil"",""joshuaStone"",""mauroAgustnAndreoli""],""timestamp"":1718348871613}",easternCardanoCouncil,lloydDuhon,cardanoAtlanticCouncil,joshuaStone,mauroAgustnAndreoli,,50253798292
2024-06-14 07:12:01.475,9257yqqy4jmh4ywr0hwwgly4mgyhzq7hy88,"{""params"":[""cardanoAtlanticCouncil""],""timestamp"":1718349082383}",cardanoAtlanticCouncil,,,,,,1529343800
2024-06-14 07:12:29.541,yr3hy6wy52hfg454yxh274qx44q3mz9yyqr2v3,"{""params"":[""cardanoAtlanticCouncil""],""timestamp"":1718349137608}",cardanoAtlanticCouncil,,,,,,7541146918
